day	hour	value
1	1	0.0
1	2	0.0
1	3	0.0
1	4	0.0
1	5	0.0
1	6	0.0
1	7	0.0
1	8	0.0
1	9	0.0
1	10	0.0
1	11	0.0
1	12	0.0
1	13	0.0
1	14	0.0
1	15	0.0
1	16	0.0
1	17	4.17
1	18	4.5
1	19	1.8
1	20	3.67
1	21	2.75
1	22	3.9
1	23	5.5
1	24	0.0
2	1	4.33
2	2	7.0
2	3	3.0
2	4	0.0
2	5	1.36
2	6	2.43
2	7	4.13
2	8	4.45
2	9	4.64
2	10	3.64
2	11	4.48
2	12	3.57
2	13	4.94
2	14	5.71
2	15	3.97
2	16	3.34
2	17	4.38
2	18	6.81
2	19	2.87
2	20	1.89
2	21	2.72
2	22	3.06
2	23	3.1
2	24	1.75
3	1	5.11
3	2	2.14
3	3	0.67
3	4	0.88
3	5	3.05
3	6	3.51
3	7	2.75
3	8	3.11
3	9	3.1
3	10	3.2
3	11	3.38
3	12	3.36
3	13	3.01
3	14	2.17
3	15	2.18
3	16	3.58
3	17	4.89
3	18	3.34
3	19	3.61
3	20	4.45
3	21	5.06
3	22	5.38
3	23	3.86
3	24	2.25
4	1	3.75
4	2	2.0
4	3	3.67
4	4	3.0
4	5	4.8
4	6	5.15
4	7	3.85
4	8	3.99
4	9	3.99
4	10	3.24
4	11	2.24
4	12	3.19
4	13	2.48
4	14	2.52
4	15	3.98
4	16	4.06
4	17	6.33
4	18	4.75
4	19	6.07
4	20	5.27
4	21	3.26
4	22	3.14
4	23	5.2
4	24	3.33
5	1	3.0
5	2	6.0
5	3	0.0
5	4	3.0
5	5	2.0
5	6	4.67
5	7	5.43
5	8	3.87
5	9	2.69
5	10	3.46
5	11	3.53
5	12	5.0
5	13	3.89
5	14	6.0
5	15	5.12
5	16	4.75
5	17	0.0
5	18	0.0
5	19	0.0
5	20	0.0
5	21	0.0
5	22	0.0
5	23	0.0
5	24	2.0
