day	hour	value
1	1	0.0
1	2	0.0
1	3	0.0
1	4	0.0
1	5	0.0
1	6	0.0
1	7	0.0
1	8	0.0
1	9	0.0
1	10	0.0
1	11	0.0
1	12	0.0
1	13	0.0
1	14	0.0
1	15	0.0
1	16	0.0
1	17	1.04
1	18	1.0
1	19	0.4
1	20	1.0
1	21	0.63
1	22	1.6
1	23	0.0
1	24	0.0
2	1	3.67
2	2	6.0
2	3	0.5
2	4	0.0
2	5	1.0
2	6	1.14
2	7	1.24
2	8	1.51
2	9	1.61
2	10	1.55
2	11	1.55
2	12	1.46
2	13	1.75
2	14	2.51
2	15	1.73
2	16	1.07
2	17	1.07
2	18	1.22
2	19	0.23
2	20	0.33
2	21	0.5
2	22	0.71
2	23	0.7
2	24	1.0
3	1	2.22
3	2	1.86
3	3	0.0
3	4	0.13
3	5	0.74
3	6	1.4
3	7	1.18
3	8	1.04
3	9	1.05
3	10	0.98
3	11	0.76
3	12	0.96
3	13	1.21
3	14	0.88
3	15	0.73
3	16	1.1
3	17	1.29
3	18	0.88
3	19	0.56
3	20	0.68
3	21	1.38
3	22	1.31
3	23	0.86
3	24	0.75
4	1	0.5
4	2	0.0
4	3	1.0
4	4	0.0
4	5	0.6
4	6	0.45
4	7	0.7
4	8	0.86
4	9	1.06
4	10	0.86
4	11	1.37
4	12	0.91
4	13	0.76
4	14	0.8
4	15	1.25
4	16	0.99
4	17	1.5
4	18	1.08
4	19	1.47
4	20	0.68
4	21	0.63
4	22	0.86
4	23	0.8
4	24	1.0
5	1	0.67
5	2	2.67
5	3	0.0
5	4	1.0
5	5	0.63
5	6	1.78
5	7	2.04
5	8	1.35
5	9	0.9
5	10	0.8
5	11	0.95
5	12	1.04
5	13	0.82
5	14	1.77
5	15	1.05
5	16	0.72
5	17	0.0
5	18	0.0
5	19	0.0
5	20	0.0
5	21	0.0
5	22	0.0
5	23	0.0
5	24	0.0
